—Яa‚UЃi‚Q‚O‚Q‚SЃj”NЃ@ЋР‰п€г—Гђf—ГЌs€Ч•К“ќЊvЃ@—Яa‚U”N‚WЊЋђRЌё•Є,,,,,,,,,,,
–тЌЬ‚МЋg—pЏу‹µЃ@€г‰Иђf—ГЃ@‘ж‚P‚T•\Ѓ@–тЌЬ“_ђ”ЃCђf—ГЌs€Ч‹ж•ЄЃi‘Ќђ”ЃjЃA“ь‰@Ѓ|“ь‰@ЉOЃA€к”К€г—ГЃ|ЊгЉъ€г—ГЃE”N—оЉK‹‰ЃA–т‰їЉK‹‰•К,,,,,,,,,,,
’ЌЃF‚PЃjЃu–тЌЬЃv‚МЏoЊ»‚·‚й–ѕЌЧЏ‘‚рЏWЊv‘ОЏЫ‚Ж‚µ‚Д‚ў‚йЃB‚Ѕ‚ѕ‚µЃAЃuЏ€•ыві—їЃv‚рЋZ’и‚µ‚Д‚ў‚й–ѕЌЧЏ‘ЃAЃu“Љ–тЃvЃu’ЌЋЛЃv‚р•пЉ‡‚µ‚Ѕђf—ГЌs€Ч‚ЄЏoЊ»‚·‚й–ѕЌЧЏ‘‹y‚С‚c‚o‚bЃ^‚o‚c‚o‚r‚ЙЊW‚й–ѕЌЧЏ‘‚НЏњ‚ў‚Д‚ў‚йЃB,,,,,,,,,,,
’ЌЃF‚QЃj ‘Ќђ”‚Й‚НЃAЃu–тЌЬ—їЊё“_ЃiЋј•z–т–тЌЬ—їЏгЊА’ґЃjЃv‚рЉЬ‚ЮЃB,,,,,,,,,,,
,,‘Ќђ”,250‰~–ў–ћ‘Ќђ”,50‰~–ў–ћ,50Ѓ`100‰~–ў–ћ,100Ѓ`150‰~–ў–ћ,150Ѓ`200‰~–ў–ћ,200Ѓ`250‰~–ў–ћ,250Ѓ`500‰~–ў–ћ,500‰~€ИЏг,Њг”­€г–т•iЃiЌДЊfЃj
“ь‰@,25Ѓ`29ЌО,44155667,9226683,3646854,1746601,1450706,929197,1453325,3411253,31517732,3136730
“ь‰@,30Ѓ`34ЌО,49184497,11400268,4536441,2101138,1614315,1263237,1885137,4161829,33622400,3781580
“ь‰@,35Ѓ`39ЌО,56908268,11773961,4839339,2191303,1825681,1165309,1752328,4350644,40783663,4811816
“ь‰@,40Ѓ`44ЌО,70981310,12568538,5139182,2447988,2038007,1117182,1826178,4443972,53968800,5472639
“ь‰@,45Ѓ`49ЌО,104330405,16406793,6749438,3125957,2776212,1413074,2342112,5820702,82102910,8236741
“ь‰@,50Ѓ`54ЌО,160929231,22791255,9251270,4484843,3856635,1939601,3258907,7520143,130617833,11710070
“ь‰@,55Ѓ`59ЌО,185105323,25734851,10201651,5020730,4318436,2338088,3855945,8151951,151218521,13529722
“ь‰@,60Ѓ`64ЌО,245988697,29471176,11425441,5619960,5027058,2792824,4605892,9113895,207403626,17140599
“ь‰@,65Ѓ`69ЌО,307579473,34586607,12963961,6927707,5653743,3329095,5712102,10390373,262602493,21143356
“ь‰@,70Ѓ`74ЌО,453494374,49554136,17827004,10225441,8115479,5185725,8200487,14666785,389273453,29638908
“ь‰@,75Ѓ`79ЌО,504494732,57960200,19830599,12091123,9483084,6643381,9912014,17365660,429168871,32751239
“ь‰@,80Ѓ`84ЌО,441638556,63271433,20702242,13557657,10244527,7853399,10913608,18701157,359665966,31057622
“ь‰@,85Ѓ`89ЌО,332185745,58063723,18136911,12334930,9099644,7990990,10501247,17232172,256889850,26175567
“ь‰@,90ЌО€ИЏг,288019315,55976909,16234408,11828252,8422165,8634894,10857191,16546569,215495836,24166873
“ь‰@ЉO,‘Ќђ”,15566904099,4200246732,2225662128,795926479,485071085,473316970,220270071,710359547,10656298422,1695430488
“ь‰@ЉO,€к”К€г—Г,10249093552,2542583074,1328527395,499156988,278469509,294299109,142130073,440065979,7266444727,1056983039
“ь‰@ЉO,ЊгЉъ€г—Г,5317810547,1657663659,897134733,296769490,206601576,179017861,78139998,270293568,3389853695,638447449
“ь‰@ЉO,00Ѓ`04ЌО,218298400,19299657,12087519,3353158,1844083,1766403,248495,1530812,197467930,3704224
“ь‰@ЉO,05Ѓ`09ЌО,164433649,38499945,19381690,7461192,5173767,4667642,1815654,4176609,121757095,12487505
“ь‰@ЉO,10Ѓ`14ЌО,318744058,44865123,22094522,7618424,6457771,5197714,3496692,7805883,266073052,24817526
“ь‰@ЉO,15Ѓ`19ЌО,257736088,50492391,26703096,11437981,5454041,3976349,2920924,11003942,196239755,20981886
“ь‰@ЉO,20Ѓ`24ЌО,259939983,62354407,29492847,18825865,5733357,5485572,2816765,20360397,177225179,33192177
“ь‰@ЉO,25Ѓ`29ЌО,335160184,79450624,37430360,23673872,6978116,7392835,3975440,27432356,228277205,40543553
“ь‰@ЉO,30Ѓ`34ЌО,389803547,90156925,45329607,23956159,7620816,8682882,4567461,28187571,271459051,39528259
“ь‰@ЉO,35Ѓ`39ЌО,481795572,110065624,55630146,27773365,10056880,11200121,5405112,29609263,342120738,46951103
“ь‰@ЉO,40Ѓ`44ЌО,590531476,139266353,71044043,33231464,13644496,14291122,7055229,26249778,425015345,59844012
“ь‰@ЉO,45Ѓ`49ЌО,784182398,198876935,101788701,43212074,19795125,21161292,12919744,27923983,557381492,82879202
“ь‰@ЉO,50Ѓ`54ЌО,1009166223,268616410,140329604,49105442,27312813,30984331,20884221,36078354,704471459,104209775
“ь‰@ЉO,55Ѓ`59ЌО,1050341785,280404537,148544423,48668971,30394188,35093417,17703539,40129349,729807899,109394422
“ь‰@ЉO,60Ѓ`64ЌО,1161291879,308857632,164928998,53903705,35112489,39351879,15560559,46136833,806297569,124577276
“ь‰@ЉO,65Ѓ`69ЌО,1370155804,366226771,195149462,63710650,43741143,45567106,18058410,57144464,946784569,152539628
“ь‰@ЉO,70Ѓ`74ЌО,1951137820,510128459,269799221,89003469,62986627,61692449,26646694,82278786,1358730585,210020245
“ь‰@ЉO,75Ѓ`79ЌО,2181883230,589395766,313769036,103852241,73613960,67882049,30278480,97542735,1494944766,234536146
“ь‰@ЉO,80Ѓ`84ЌО,1713256245,524942976,283159639,94302071,66074798,57113362,24293107,87024873,1101288654,201866771
“ь‰@ЉO,85Ѓ`89ЌО,913385177,333891516,183457862,60035614,41705142,34667298,14025601,53065456,526428217,124769231
“ь‰@ЉO,90ЌО€ИЏг,415660582,184454679,105541352,32800762,21371474,17143147,7597945,26678107,204527863,68587549
